site,subpop,first.year,station_ID,SUtemp,WINtemp,WSprcp,woody,deer,avgr.t.,avgden
35,3580,2011,USW00014880,22.87037037,-0.5,133.604,low,low,-0.012632251,4.847841472
35,3787,2012,USW00014880,20.01851852,-2.233333333,516.382,low,none,0.710047192,0.692562444
104,3113,2012,USC00112736,21.2037037,-3.222222222,556.006,low,none,0.278713402,16.34819533
104,3113,2013,USC00112736,21.12962963,-9,371.856,low,none,0.205794913,8.416742493
141,55,2004,USC00110442,22.62962963,-3.314814815,343.662,high,low,-0.553885113,3.417453761
141,55,2005,USC00110442,21.46296296,-3.296296296,418.338,low,low,-0.198450939,1.9418984
141,55,2006,USC00110442,21.5,-4.685185185,452.374,none,none,0.035932009,6.815243406
141,55,2007,USC00110442,20.92592593,-5.888888889,524.764,low,low,0.991070747,3.496520756
141,55,2010,USC00110442,22,-6.444444444,493.268,low,low,0.241638134,3.184713376
141,55,2011,USC00110442,22.40740741,-1.296296296,336.296,low,low,-0.158523227,2.715233812
141,55,2012,USC00110442,20.27777778,-3.518518519,545.592,high,low,-0.402402319,4.915798108
141,55,2013,USC00110442,20.53703704,-9.555555556,420.37,low,low,0.383825933,2.003658055
141,55,2014,USC00110442,20.24074074,-6.222222222,332.486,high,low,-0.510825624,2.941149438
208,2460,2008,USC00478316,19.2,-8.433333333,540,low,none,0.38422648,9.954945883
208,2460,2009,USC00478316,21.96666667,-6.2,351.5,low,low,-0.131195943,13.06357174
226,8,2001,USC00111497,21.59259259,-4.648148148,410.718,low,high,0.752514924,2.979520314
226,8,2002,USC00111497,22.59259259,0.740740741,345.948,high,high,-1.236812029,3.11884929
226,8,2005,USC00111497,21.94444444,-1.703703704,382.524,low,low,0.878047793,13.53881812
226,8,2006,USC00111497,22,-2.981481481,383.794,high,low,-0.089398045,5.775184666
226,8,2007,USC00111497,21.77777778,-3.87037037,547.116,high,low,0.036205039,6.402876198
226,8,2008,USC00111497,20,-5.518518519,628.904,high,low,-0.431858433,5.454542415
226,8,2009,USC00111497,23.61111111,-3.425925926,430.784,low,low,-0.546508402,3.58847307
226,8,2010,USC00111497,22.68518519,-4.351851852,435.864,low,low,0.136745618,0.903614651
226,8,2011,USC00111497,23.77777778,0.166666667,342.138,low,low,0.503941372,1.442702945
227,7,2004,USC00111497,23.11111111,-1.722222222,316.738,low,low,-0.107077036,11.49354175
227,7,2009,USC00111497,23.61111111,-3.425925926,430.784,low,low,-0.375091158,0.671662932
227,7,2010,USC00111497,22.68518519,-4.351851852,435.864,low,low,-0.154595238,0.926506115
227,7,2011,USC00111497,23.77777778,0.166666667,342.138,low,low,-0.785698738,0.097597142
349,1088,2002,USC00112736,21.74074074,-4.833333333,357.124,low,low,0.141078598,42.03821656
349,1088,2003,USC00112736,19.98148148,-3.833333333,500.634,low,low,-0.379489622,NA
349,1088,2004,USC00112736,23.7962963,-3.044444444,363.412,none,low,0.852777326,33.12101911
349,1088,2005,USC00112736,22.25925926,-2.666666667,437.896,low,low,-0.198850859,NA
349,1088,2006,USC00112736,22.05555556,-4.592592593,417.83,low,low,0.292669614,6.369426752
349,1088,2007,USC00112736,21.55555556,-5.648148148,490.982,low,low,-0.678332095,22.76008493
349,1088,2008,USC00112736,20.12962963,-6.759259259,595.376,low,low,1.400893161,43.31210191
349,1088,2009,USC00112736,22.80740741,-5.092592593,478.18,low,low,-0.623188592,24.41613588
349,1088,2010,USC00112736,22.7037037,-5.888888889,571.754,low,low,-0.193191229,6.439037973
349,1088,2011,USC00112736,23.35185185,-1.12962963,299.974,none,low,0.388935806,19.42675159
349,1088,2012,USC00112736,21.2037037,-3.222222222,556.006,none,low,0.125163143,5.661712668
349,1088,2013,USC00112736,21.12962963,-9,371.856,low,low,0.066375069,11.51407228
